"","Location","Model","Deviance","DIC","BayesFactor"
"1","Anhui","BassSIR","142.80 (138.72, 150.88)",148.011848529899,1
"2","Anhui","SIR","150.76 (147.75, 157.57)",154.112127321766,0.0143726156343097
"3","Beijing","BassSIR","128.50 (124.66, 136.60)",133.544861985389,1
"4","Beijing","SIR","128.32 (125.29, 135.10)",132.048784563124,0.899511362699809
"5","Chongqing","BassSIR","133.25 (129.21, 140.66)",137.89448224688,1
"6","Chongqing","SIR","146.81 (143.69, 154.17)",150.565226793381,0.000942348233511917
"7","Fujian","BassSIR","123.28 (119.34, 130.75)",127.825803434678,1
"8","Fujian","SIR","139.05 (135.96, 146.05)",142.783110801618,0.00031977543119944
"9","Gansu","BassSIR","101.82 (97.87, 109.11)",106.117125860181,1
"10","Gansu","SIR","105.43 (102.06, 113.75)",109.991767954868,0.156740819984376
"11","Guangdong","BassSIR","143.57 (139.65, 151.45)",148.381665498597,1
"12","Guangdong","SIR","155.93 (152.89, 162.70)",159.446809652982,0.0017138410668608
"13","Guangxi Zhuang","BassSIR","110.07 (105.94, 117.33)",114.404728206589,1
"14","Guangxi Zhuang","SIR","117.70 (114.33, 126.45)",123.199085829213,0.020416336015897
"15","Guizhou","BassSIR","108.20 (104.92, 114.66)",111.714676979957,1
"16","Guizhou","SIR","110.82 (107.11, 117.27)",114.650399634985,0.302935795177351
"17","Hainan","BassSIR","109.67 (106.46, 116.30)",113.238649117627,1
"18","Hainan","SIR","112.68 (108.84, 121.01)",118.23715252883,0.282375945733016
"19","Hebei","BassSIR","123.42 (120.10, 130.84)",127.431294304294,1
"20","Hebei","SIR","135.09 (131.42, 142.72)",139.943220105366,0.00332356890677619
"21","Heilongjiang","BassSIR","140.68 (136.41, 149.75)",146.684883921259,1
"22","Heilongjiang","SIR","139.37 (136.21, 146.62)",143.485130474178,1.46338563284551
"23","Henan","BassSIR","148.67 (144.63, 157.17)",154.293401231867,1
"24","Henan","SIR","166.44 (163.36, 173.39)",170.174781349384,0.000110391981832601
"25","Hubei","BassSIR","266.06 (262.13, 273.95)",271.216319469925,1
"26","Hubei","SIR","268.32 (265.24, 275.36)",271.884852301421,0.261431544149958
"27","Hunan","BassSIR","152.26 (148.27, 159.97)",157.139405248046,1
"28","Hunan","SIR","168.88 (165.75, 175.90)",172.631274017975,0.000202862668929102
"29","Inner Mongolia","BassSIR","73.63 (69.81, 81.26)",78.1646135531993,1
"30","Inner Mongolia","SIR","73.76 (70.56, 81.04)",77.8200339132814,0.846637644303579
"31","Jiangsu","BassSIR","119.89 (115.97, 127.88)",124.819542255396,1
"32","Jiangsu","SIR","144.03 (140.82, 151.68)",148.222937692731,4.98664742634745e-06
"33","Jiangxi","BassSIR","159.83 (155.77, 168.55)",165.472583158048,1
"34","Jiangxi","SIR","165.74 (162.69, 172.42)",169.264118777076,0.0402702838723793
"35","Jilin","BassSIR","89.89 (85.49, 98.11)",95.4035966027012,1
"36","Jilin","SIR","88.19 (84.98, 95.50)",92.2730473224103,1.80438959034866
"37","Liaoning","BassSIR","106.65 (102.57, 113.63)",110.830351074797,1
"38","Liaoning","SIR","110.93 (107.27, 121.97)",117.717220899185,0.125520103081378
"39","Ningxia Hui","BassSIR","78.39 (75.03, 85.17)",82.2425739478497,1
"40","Ningxia Hui","SIR","85.74 (81.86, 92.80)",90.708567599058,0.0304729039668061
"41","Qinghai","BassSIR","40.90 (37.91, 47.23)",43.9806100475973,1
"42","Qinghai","SIR","44.00 (39.22, 51.49)",50.1282545681742,0.363866496597044
"43","Shaanxi","BassSIR","108.30 (104.30, 116.30)",113.295594982823,1
"44","Shaanxi","SIR","118.45 (115.40, 125.48)",122.156950755345,0.00504129170760826
"45","Shandong","BassSIR","138.24 (134.36, 145.88)",142.931944952788,1
"46","Shandong","SIR","150.71 (147.49, 158.98)",155.060928802287,0.00176192837990952
"47","Shanghai","BassSIR","95.34 (90.86, 103.89)",101.394281278224,1
"48","Shanghai","SIR","103.46 (100.19, 110.90)",107.554066588751,0.0127866450381386
"49","Shanxi","BassSIR","87.60 (83.81, 95.35)",92.2214638797412,1
"50","Shanxi","SIR","98.09 (94.84, 105.89)",102.169045451408,0.00472866711673684
"51","Sichuan","BassSIR","125.78 (121.65, 133.97)",131.321491266033,1
"52","Sichuan","SIR","145.89 (142.60, 154.17)",150.717355749415,3.6123492979629e-05
"53","Tianjin","BassSIR","94.45 (91.48, 101.67)",98.1080145351868,1
"54","Tianjin","SIR","96.05 (92.20, 102.57)",100.129424476542,0.533643151691468
"55","Xinjiang Uyghur","BassSIR","67.73 (64.01, 75.50)",72.158580250134,1
"56","Xinjiang Uyghur","SIR","75.11 (71.61, 81.77)",78.6279524934411,0.0231349899987124
"57","Yunnan","BassSIR","109.69 (105.43, 117.58)",115.233813193165,1
"58","Yunnan","SIR","120.32 (117.28, 127.35)",123.978409445649,0.00365832368702681
"59","Zhejiang","BassSIR","188.20 (183.21, 200.62)",197.822279948322,1
"60","Zhejiang","SIR","190.94 (187.77, 198.03)",194.841238100836,0.138273395373183
