"","Location","index","Time","Scenario","mean","lower","upper"
"1","Anhui","PrEx",2020-02-12,"Baseline",3.94792384985259,1.31321651328117,7.41590562886121
"2","Anhui","PrEx",2020-02-12,"Lockdown",0,0,0
"3","Anhui","PAF_2w",2020-02-26,"Lockdown",-0.338795788535054,-1.19318991353188,-0.0247127872050179
"4","Anhui","PAF_4w",2020-03-11,"Lockdown",0.290174735744884,0.0986175678796186,0.460854746101266
"5","Beijing","PrEx",2020-02-12,"Baseline",5.73108749822694,0.310274361806562,17.6923537238243
"6","Beijing","PrEx",2020-02-12,"Lockdown",0,0,0
"7","Beijing","PAF_2w",2020-02-26,"Lockdown",-1.414491928025,-7.8326663847463,-0.0132363898804569
"8","Beijing","PAF_4w",2020-03-11,"Lockdown",-0.630572338861631,-5.38318123971983,0.24772998247064
"9","Chongqing","PrEx",2020-02-12,"Baseline",17.9564956832244,7.83609331537969,31.7984755591709
"10","Chongqing","PrEx",2020-02-12,"Lockdown",0,0,0
"11","Chongqing","PAF_2w",2020-02-26,"Lockdown",-8.60751314905762,-24.6962327268808,-1.37620156762578
"12","Chongqing","PAF_4w",2020-03-11,"Lockdown",-7.03984033832754,-27.4605227464482,-0.251853865559392
"13","Fujian","PrEx",2020-02-12,"Baseline",29.6581409434546,13.2412191572198,53.0231793731891
"14","Fujian","PrEx",2020-02-12,"Lockdown",0,0,0
"15","Fujian","PAF_2w",2020-02-26,"Lockdown",-18.5841243736285,-46.9606594759225,-2.75509661416493
"16","Fujian","PAF_4w",2020-03-11,"Lockdown",-20.2444308187696,-63.0774710289793,-1.00378197939408
"17","Gansu","PrEx",2020-02-12,"Baseline",18.2657458906652,2.5661020269314,42.9308243301406
"18","Gansu","PrEx",2020-02-12,"Lockdown",0,0,0
"19","Gansu","PAF_2w",2020-02-26,"Lockdown",-11.4562851919422,-39.9141017497351,-0.279671464387732
"20","Gansu","PAF_4w",2020-03-11,"Lockdown",-11.632657814423,-52.536196720611,0.0276034163033873
"21","Guangdong","PrEx",2020-02-12,"Baseline",3.87829742281419,1.78990957218455,6.16913311824237
"22","Guangdong","PrEx",2020-02-12,"Lockdown",0,0,0
"23","Guangdong","PAF_2w",2020-02-26,"Lockdown",-0.193897620242379,-0.478004294699121,-0.0334628761885497
"24","Guangdong","PAF_4w",2020-03-11,"Lockdown",0.203357101738422,0.108008980678408,0.294409251360771
"25","Guangxi Zhuang","PrEx",2020-02-12,"Baseline",17.16273410837,4.52590237167849,34.2172426077987
"26","Guangxi Zhuang","PrEx",2020-02-12,"Lockdown",0,0,0
"27","Guangxi Zhuang","PAF_2w",2020-02-26,"Lockdown",-10.8758709521379,-32.2873573569202,-0.712195422439605
"28","Guangxi Zhuang","PAF_4w",2020-03-11,"Lockdown",-9.87372199570971,-39.5583352922949,0.0699998501396765
"29","Guizhou","PrEx",2020-02-12,"Baseline",5.92822649164654,0.513352024158413,13.9990508566893
"30","Guizhou","PrEx",2020-02-12,"Lockdown",0,0,0
"31","Guizhou","PAF_2w",2020-02-26,"Lockdown",-2.88567276082563,-10.4504967345003,-0.0279481486371624
"32","Guizhou","PAF_4w",2020-03-11,"Lockdown",-0.0188937324671579,-3.87855232190384,1.02131376644527
"33","Hainan","PrEx",2020-02-12,"Baseline",12.7095351382484,1.37251574450859,27.5619072316432
"34","Hainan","PrEx",2020-02-12,"Lockdown",0,0,0
"35","Hainan","PAF_2w",2020-02-26,"Lockdown",-9.63759110858079,-26.644219987047,-0.272060881853943
"36","Hainan","PAF_4w",2020-03-11,"Lockdown",-7.76068494838999,-30.5226070259219,0.0431268692420612
"37","Hebei","PrEx",2020-02-12,"Baseline",15.4646214777306,6.09530405474124,26.3054175306668
"38","Hebei","PrEx",2020-02-12,"Lockdown",0,0,0
"39","Hebei","PAF_2w",2020-02-26,"Lockdown",-11.9888153880235,-25.2181612181937,-1.68333438763527
"40","Hebei","PAF_4w",2020-03-11,"Lockdown",-8.46436169763823,-25.7478853744274,0.00106738435888215
"41","Heilongjiang","PrEx",2020-02-12,"Baseline",1.91447537363158,0.0641569149376807,6.37609077782754
"42","Heilongjiang","PrEx",2020-02-12,"Lockdown",0,0,0
"43","Heilongjiang","PAF_2w",2020-02-26,"Lockdown",-0.0528697472780334,-0.669794141682692,0.0772357160577592
"44","Heilongjiang","PAF_4w",2020-03-11,"Lockdown",0.242897364823335,0.00658619064446475,0.738832147036364
"45","Henan","PrEx",2020-02-12,"Baseline",6.22950275896548,3.46701149289773,9.72557422559613
"46","Henan","PrEx",2020-02-12,"Lockdown",0,0,0
"47","Henan","PAF_2w",2020-02-26,"Lockdown",-0.68946969987594,-1.76154686266807,-0.164908835472935
"48","Henan","PAF_4w",2020-03-11,"Lockdown",0.217562013342964,-0.194517022080712,0.392748211438428
"49","Hubei","PrEx",2020-02-12,"Baseline",1.42245435937179,0.182231071612579,3.05776870854012
"50","Hubei","PrEx",2020-02-12,"Lockdown",0,0,0
"51","Hubei","PAF_2w",2020-02-26,"Lockdown",-0.0105255108661045,-0.118249554477994,0.0222679588297386
"52","Hubei","PAF_4w",2020-03-11,"Lockdown",0.197196744763191,0.0241807722784138,0.422738750363018
"53","Hunan","PrEx",2020-02-12,"Baseline",9.60364581351095,4.83298737047166,15.1040058480779
"54","Hunan","PrEx",2020-02-12,"Lockdown",0,0,0
"55","Hunan","PAF_2w",2020-02-26,"Lockdown",-2.31754131135622,-5.34652958601082,-0.587954963514182
"56","Hunan","PAF_4w",2020-03-11,"Lockdown",-1.0052642243022,-3.35371496139238,0.0311148020659974
"57","Inner Mongolia","PrEx",2020-02-12,"Baseline",9.06554730246299,0.49080874065693,26.5330633062013
"58","Inner Mongolia","PrEx",2020-02-12,"Lockdown",0,0,0
"59","Inner Mongolia","PAF_2w",2020-02-26,"Lockdown",-4.23855249638309,-23.3298953255931,-0.00509718297519251
"60","Inner Mongolia","PAF_4w",2020-03-11,"Lockdown",-2.55164333758003,-22.9818134511078,0.588497330484812
"61","Jiangsu","PrEx",2020-02-12,"Baseline",8.55220749528034,5.21968767832737,12.1647205584853
"62","Jiangsu","PrEx",2020-02-12,"Lockdown",0,0,0
"63","Jiangsu","PAF_2w",2020-02-26,"Lockdown",-1.89780003970271,-3.97088507908147,-0.668078732858498
"64","Jiangsu","PAF_4w",2020-03-11,"Lockdown",-0.379142279896073,-1.64553879838606,0.174999252350302
"65","Jiangxi","PrEx",2020-02-12,"Baseline",4.9377931223555,1.26318348563916,10.0036767120273
"66","Jiangxi","PrEx",2020-02-12,"Lockdown",0,0,0
"67","Jiangxi","PAF_2w",2020-02-26,"Lockdown",-0.387505841226934,-1.74830463311288,0.0133376676976593
"68","Jiangxi","PAF_4w",2020-03-11,"Lockdown",0.314538223212428,-0.0315805373411201,0.624235010863313
"69","Jilin","PrEx",2020-02-12,"Baseline",1.65622950495959,0.0521665088131906,5.87613036752736
"70","Jilin","PrEx",2020-02-12,"Lockdown",0,0,0
"71","Jilin","PAF_2w",2020-02-26,"Lockdown",-0.029537959029461,-0.378842678488081,0.0447134139140293
"72","Jilin","PAF_4w",2020-03-11,"Lockdown",0.131044181984483,0.00362839555782424,0.444131736863051
"73","Liaoning","PrEx",2020-02-12,"Baseline",27.7233118089885,4.94131386694551,60.3748292229565
"74","Liaoning","PrEx",2020-02-12,"Lockdown",0,0,0
"75","Liaoning","PAF_2w",2020-02-26,"Lockdown",-18.5389307826536,-52.8337898332749,-0.442598928611645
"76","Liaoning","PAF_4w",2020-03-11,"Lockdown",-21.4209076991838,-71.6181919787897,0.21747829730041
"77","Ningxia Hui","PrEx",2020-02-12,"Baseline",18.9860019887555,4.47296016787456,37.2358250873639
"78","Ningxia Hui","PrEx",2020-02-12,"Lockdown",0,0,0
"79","Ningxia Hui","PAF_2w",2020-02-26,"Lockdown",-14.9212813298539,-35.9280907823794,-1.1752161882302
"80","Ningxia Hui","PAF_4w",2020-03-11,"Lockdown",-13.8650813653324,-45.453092731337,-0.19429080977618
"81","Qinghai","PrEx",2020-02-12,"Baseline",45.976349300356,3.03038451026029,96.7233111156137
"82","Qinghai","PrEx",2020-02-12,"Lockdown",0,0,0
"83","Qinghai","PAF_2w",2020-02-26,"Lockdown",-26.484701298572,-71.0775342526247,-0.049429947827022
"84","Qinghai","PAF_4w",2020-03-11,"Lockdown",-30.8747652203682,-89.1410596070672,0.725103149220507
"85","Shaanxi","PrEx",2020-02-12,"Baseline",9.76965961631944,3.52199341070242,18.286805724309
"86","Shaanxi","PrEx",2020-02-12,"Lockdown",0,0,0
"87","Shaanxi","PAF_2w",2020-02-26,"Lockdown",-2.05141218652055,-7.0455460143399,-0.210289777702026
"88","Shaanxi","PAF_4w",2020-03-11,"Lockdown",-0.645772223948039,-4.66574988300355,0.333354366989165
"89","Shandong","PrEx",2020-02-12,"Baseline",15.8353169705081,6.33185345369474,28.2462065554496
"90","Shandong","PrEx",2020-02-12,"Lockdown",0,0,0
"91","Shandong","PAF_2w",2020-02-26,"Lockdown",-8.95126892874095,-25.9088901591572,-1.22927110802495
"92","Shandong","PAF_4w",2020-03-11,"Lockdown",-6.72550659261653,-28.5243014346358,-0.0498496776939011
"93","Shanghai","PrEx",2020-02-12,"Baseline",19.4749757813624,4.40345417692751,45.8160673866374
"94","Shanghai","PrEx",2020-02-12,"Lockdown",0,0,0
"95","Shanghai","PAF_2w",2020-02-26,"Lockdown",-5.96590637552147,-29.702053976358,-0.152940415373583
"96","Shanghai","PAF_4w",2020-03-11,"Lockdown",-4.02176207790162,-34.4231499821663,0.613812006916097
"97","Shanxi","PrEx",2020-02-12,"Baseline",8.84809697962251,3.48545765462297,15.9582907807778
"98","Shanxi","PrEx",2020-02-12,"Lockdown",0,0,0
"99","Shanxi","PAF_2w",2020-02-26,"Lockdown",-2.2248728719594,-6.83907344845771,-0.346957264693755
"100","Shanxi","PAF_4w",2020-03-11,"Lockdown",-0.719873032377172,-3.96488561068031,0.232748671691288
"101","Sichuan","PrEx",2020-02-12,"Baseline",17.291003250855,9.25222442949421,29.723885148076
"102","Sichuan","PrEx",2020-02-12,"Lockdown",0,0,0
"103","Sichuan","PAF_2w",2020-02-26,"Lockdown",-8.17553180846173,-23.8314924160273,-1.96203519310395
"104","Sichuan","PAF_4w",2020-03-11,"Lockdown",-6.17186283420756,-25.0370259063763,-0.441860764768915
"105","Tianjin","PrEx",2020-02-12,"Baseline",13.5133834268171,0.995976024767008,34.0715012804885
"106","Tianjin","PrEx",2020-02-12,"Lockdown",0,0,0
"107","Tianjin","PAF_2w",2020-02-26,"Lockdown",-10.0633762725281,-31.7902674817231,-0.135151338574873
"108","Tianjin","PAF_4w",2020-03-11,"Lockdown",-8.28010760540391,-36.8419474739389,0.196189671291938
"109","Xinjiang Uyghur","PrEx",2020-02-12,"Baseline",12.2149606100349,2.65097084417393,22.5472821935392
"110","Xinjiang Uyghur","PrEx",2020-02-12,"Lockdown",0,0,0
"111","Xinjiang Uyghur","PAF_2w",2020-02-26,"Lockdown",-8.97147903848743,-20.9093798681259,-0.568087727854737
"112","Xinjiang Uyghur","PAF_4w",2020-03-11,"Lockdown",-4.68258468427596,-17.7762643939958,0.374825517401287
"113","Yunnan","PrEx",2020-02-12,"Baseline",18.9425313370325,6.30689607688125,39.9677284259011
"114","Yunnan","PrEx",2020-02-12,"Lockdown",0,0,0
"115","Yunnan","PAF_2w",2020-02-26,"Lockdown",-4.99843205163939,-24.0807154151012,-0.127564656429466
"116","Yunnan","PAF_4w",2020-03-11,"Lockdown",-3.15830124172996,-26.6781954274073,0.929419588882633
"117","Zhejiang","PrEx",2020-02-12,"Baseline",11.5939534837782,1.6124195472359,41.7265225679791
"118","Zhejiang","PrEx",2020-02-12,"Lockdown",0,0,0
"119","Zhejiang","PAF_2w",2020-02-26,"Lockdown",-4.00653391018948,-36.9912305699923,-0.0163235277744106
"120","Zhejiang","PAF_4w",2020-03-11,"Lockdown",-3.59509242147638,-47.4043340728555,0.520867948199654
